Station_ID,Shift,weekDayName,avgUtilization
01,1,Mon,28
02,1,Mon,32
02,3,Mon,17
02,2,Mon,29
01,3,Mon,23
01,2,Mon,27
02,3,Tue,24
01,2,Tue,33
01,3,Tue,20
01,1,Tue,31
02,2,Tue,36
02,1,Tue,33
01,2,Wed,37
01,3,Wed,14
02,3,Wed,11
01,1,Wed,30
02,2,Wed,35
02,1,Wed,36
02,2,Thu,34
02,3,Thu,7
01,2,Thu,34
01,3,Thu,11
01,1,Thu,33
02,1,Thu,36
02,1,Fri,33
01,2,Fri,30
02,2,Fri,37
02,3,Fri,13
01,3,Fri,9
01,1,Fri,31
02,3,Sat,0
01,2,Sat,14
02,1,Sat,31
01,1,Sat,28
02,2,Sat,21
01,3,Sat,2
01,3,Sun,4
01,2,Sun,0
01,1,Sun,3
02,2,Sun,3
02,1,Sun,2
02,3,Sun,9
