Station_ID,maintFlag,WRK_DAY2,useHrs
Station-3,0,2/17/2020,4
Station-3,1,2/16/2020,24
Station-3,1,2/15/2020,24
Station-3,1,2/14/2020,24
Station-3,0,2/13/2020,24
Station-3,0,2/12/2020,24
Station-3,0,2/11/2020,24
Station-3,0,2/10/2020,24
Station-3,1,2/9/2020,24
Station-3,1,2/8/2020,24
Station-3,1,2/7/2020,24
Station-3,0,2/6/2020,24
Station-3,0,2/5/2020,24
Station-3,0,2/4/2020,24
Station-3,1,2/3/2020,24
Station-3,1,2/2/2020,24
Station-3,1,2/1/2020,24
Station-3,0,1/31/2020,19
Station-3,1,1/31/2020,5
Station-3,1,1/30/2020,5
Station-3,0,1/30/2020,19
Station-3,1,1/29/2020,5
Station-3,0,1/29/2020,19
Station-3,0,1/28/2020,19
Station-3,1,1/28/2020,5
Station-3,0,1/27/2020,19
Station-3,1,1/27/2020,5
Station-3,1,1/26/2020,24
Station-3,1,1/25/2020,24
Station-3,1,1/24/2020,5
Station-3,0,1/24/2020,19
Station-3,1,1/23/2020,5
Station-3,0,1/23/2020,19
Station-3,0,1/22/2020,19
Station-3,1,1/22/2020,5
Station-3,0,1/21/2020,19
Station-3,1,1/21/2020,5
Station-3,1,1/20/2020,5
Station-3,0,1/20/2020,19
Station-3,1,1/19/2020,24
Station-3,1,1/18/2020,24
Station-3,1,1/17/2020,5
Station-3,0,1/17/2020,19
Station-3,1,1/16/2020,5
Station-3,0,1/16/2020,19
Station-3,1,1/15/2020,5
Station-3,0,1/15/2020,19
Station-3,0,1/14/2020,19
Station-3,1,1/14/2020,5
Station-3,0,1/13/2020,19
Station-3,1,1/13/2020,5
Station-3,1,1/12/2020,24
Station-3,1,1/11/2020,24
Station-3,1,1/10/2020,5
Station-3,0,1/10/2020,19
Station-3,1,1/9/2020,5
Station-3,0,1/9/2020,19
Station-3,0,1/8/2020,19
Station-3,1,1/8/2020,5
Station-3,0,1/7/2020,19
Station-3,1,1/7/2020,5
Station-3,1,1/6/2020,5
Station-3,0,1/6/2020,19
Station-3,1,1/5/2020,19
Station-3,0,1/5/2020,5
Station-3,1,1/4/2020,24
Station-3,1,1/3/2020,24
Station-3,1,1/2/2020,24
Station-3,1,1/1/2020,24
Station-3,1,12/31/2019,24
Station-3,1,12/30/2019,24
Station-3,1,12/29/2019,24
Station-3,1,12/28/2019,24
Station-3,1,12/27/2019,24
Station-3,0,12/26/2019,10
Station-3,1,12/26/2019,14
Station-3,1,12/25/2019,24
Station-3,1,12/24/2019,24
Station-3,1,12/23/2019,24
Station-3,1,12/22/2019,24
Station-3,1,12/21/2019,24
Station-3,1,12/20/2019,24
Station-3,1,12/19/2019,24
Station-3,1,12/18/2019,24
Station-3,1,12/17/2019,24
Station-3,0,12/16/2019,9
Station-3,1,12/16/2019,15
Station-3,1,12/15/2019,24
Station-3,1,12/14/2019,24
Station-3,1,12/13/2019,5
Station-3,0,12/13/2019,19
Station-3,0,12/12/2019,24
Station-3,0,12/11/2019,24
Station-3,0,12/10/2019,24
Station-3,1,12/9/2019,5
Station-3,0,12/9/2019,19
Station-3,1,12/8/2019,24
Station-3,0,12/7/2019,10
Station-3,1,12/7/2019,14
Station-3,0,12/6/2019,19
Station-3,1,12/6/2019,5
Station-3,0,12/5/2019,24
Station-3,0,12/4/2019,24
Station-3,0,12/3/2019,24
Station-3,0,12/2/2019,24
Station-3,1,12/1/2019,24
Station-3,0,11/30/2019,10
Station-3,1,11/30/2019,14
Station-3,0,11/29/2019,24
Station-3,0,11/28/2019,24
Station-3,0,11/27/2019,24
Station-3,0,11/26/2019,24
Station-3,0,11/25/2019,24
Station-3,1,11/24/2019,24
Station-3,1,11/23/2019,14
Station-3,0,11/23/2019,10
Station-3,1,11/22/2019,5
Station-3,0,11/22/2019,19
Station-3,0,11/21/2019,24
Station-3,0,11/20/2019,19
Station-3,1,11/20/2019,5
Station-3,1,11/19/2019,5
Station-3,0,11/19/2019,19
Station-3,1,11/18/2019,24
Station-3,1,11/17/2019,24
Station-3,1,11/16/2019,14
Station-3,0,11/16/2019,10
Station-3,1,11/15/2019,5
Station-3,0,11/15/2019,19
Station-3,0,11/14/2019,24
Station-3,0,11/13/2019,24
Station-3,0,11/12/2019,24
Station-3,0,11/11/2019,24
Station-3,1,11/10/2019,14
Station-3,0,11/9/2019,35
Station-3,1,11/8/2019,5
Station-3,0,11/8/2019,19
Station-3,0,11/7/2019,24
Station-3,0,11/6/2019,24
Station-3,0,11/5/2019,24
Station-3,0,11/4/2019,24
Station-3,1,11/3/2019,24
