Station_ID,maintFlag,WRK_DAY2,useHrs
Station-3,0,2/17/2020,4
Station-4,1,2/17/2020,4
Station-2,0,2/17/2020,4
Station-6,1,2/17/2020,4
Station-1,0,2/17/2020,4
Station-5,1,2/17/2020,4
Station-3,1,2/16/2020,24
Station-2,1,2/16/2020,24
Station-5,1,2/16/2020,24
Station-4,1,2/16/2020,24
Station-1,1,2/16/2020,24
Station-6,1,2/16/2020,24
Station-2,1,2/15/2020,24
Station-5,1,2/15/2020,24
Station-6,1,2/15/2020,24
Station-4,1,2/15/2020,24
Station-3,1,2/15/2020,24
Station-1,1,2/15/2020,24
Station-6,1,2/14/2020,24
Station-5,1,2/14/2020,24
Station-1,1,2/14/2020,24
Station-4,1,2/14/2020,24
Station-2,1,2/14/2020,24
Station-3,1,2/14/2020,24
Station-1,0,2/13/2020,24
Station-3,0,2/13/2020,24
Station-5,0,2/13/2020,24
Station-2,0,2/13/2020,24
Station-4,0,2/13/2020,24
Station-6,1,2/13/2020,24
Station-5,0,2/12/2020,24
Station-4,0,2/12/2020,24
Station-6,1,2/12/2020,24
Station-2,0,2/12/2020,24
Station-3,0,2/12/2020,24
Station-1,0,2/12/2020,24
Station-3,0,2/11/2020,24
Station-1,0,2/11/2020,24
Station-2,0,2/11/2020,24
Station-6,1,2/11/2020,24
Station-4,0,2/11/2020,24
Station-5,0,2/11/2020,24
Station-5,0,2/10/2020,24
Station-4,0,2/10/2020,24
Station-1,0,2/10/2020,24
Station-3,0,2/10/2020,24
Station-6,1,2/10/2020,24
Station-2,0,2/10/2020,24
Station-2,1,2/9/2020,24
Station-4,0,2/9/2020,5
Station-5,1,2/9/2020,19
Station-4,1,2/9/2020,19
Station-6,1,2/9/2020,24
Station-3,1,2/9/2020,24
Station-1,1,2/9/2020,24
Station-5,0,2/9/2020,5
Station-4,1,2/8/2020,24
Station-2,1,2/8/2020,24
Station-1,1,2/8/2020,24
Station-3,1,2/8/2020,24
Station-6,1,2/8/2020,24
Station-5,1,2/8/2020,24
Station-5,1,2/7/2020,24
Station-6,1,2/7/2020,24
Station-3,1,2/7/2020,24
Station-1,1,2/7/2020,24
Station-2,1,2/7/2020,24
Station-4,1,2/7/2020,24
Station-2,0,2/6/2020,19
Station-6,1,2/6/2020,24
Station-3,0,2/6/2020,24
Station-1,0,2/6/2020,24
Station-5,0,2/6/2020,24
Station-2,1,2/6/2020,5
Station-4,0,2/6/2020,24
Station-5,0,2/5/2020,24
Station-2,0,2/5/2020,24
Station-1,0,2/5/2020,24
Station-6,1,2/5/2020,24
Station-4,0,2/5/2020,24
Station-3,0,2/5/2020,24
Station-1,0,2/4/2020,24
Station-3,0,2/4/2020,24
Station-4,0,2/4/2020,24
Station-5,0,2/4/2020,24
Station-6,1,2/4/2020,24
Station-2,0,2/4/2020,24
Station-6,1,2/3/2020,24
Station-5,0,2/3/2020,5
Station-4,0,2/3/2020,5
Station-2,1,2/3/2020,24
Station-1,1,2/3/2020,24
Station-4,1,2/3/2020,19
Station-3,1,2/3/2020,24
Station-5,1,2/3/2020,19
Station-2,1,2/2/2020,24
Station-4,1,2/2/2020,24
Station-5,1,2/2/2020,24
Station-1,1,2/2/2020,24
Station-3,1,2/2/2020,24
